round,method,train_count,train_positive_count,train_negative_count,test_count,test_positive_count,test_negative_count,augmentation_count,threshold,accuracy,precision,recall,f1,TN,FP,FN,TP,single_round_decay,cumulative_decay
1,none,9000,3000,6000,500,250,250,0,0.7,0.756,0.8595505617977528,0.612,0.7149532710280373,225,25,97,153,,+0.00%
1,smote,12000,6000,6000,500,250,250,3000,0.6,0.894,0.9020408163265307,0.884,0.8929292929292929,226,24,29,221,,+0.00%
1,generated,12000,6000,6000,500,250,250,3000,0.7,0.89,0.9045643153526971,0.872,0.8879837067209776,227,23,32,218,,+0.00%
2,none,9000,3000,6000,500,250,250,0,0.7,0.762,0.861878453038674,0.624,0.7238979118329466,225,25,94,156,+1.25%,+1.25%
2,smote,12000,6000,6000,500,250,250,3000,0.6,0.894,0.9020408163265307,0.884,0.8929292929292929,226,24,29,221,+0.00%,+0.00%
2,generated,12000,6000,6000,500,250,250,3000,0.39999999999999997,0.922,0.8951310861423221,0.956,0.9245647969052223,222,28,11,239,+4.12%,+4.12%
3,none,9000,3000,6000,500,250,250,0,0.7,0.768,0.8641304347826086,0.636,0.7327188940092165,225,25,91,159,+1.22%,+2.48%
3,smote,12000,6000,6000,500,250,250,3000,0.6,0.884,0.9,0.864,0.8816326530612244,226,24,34,216,-1.27%,-1.27%
3,generated,12000,6000,6000,500,250,250,3000,0.39999999999999997,0.924,0.8955223880597015,0.96,0.9266409266409267,222,28,10,240,+0.22%,+4.35%
4,none,9000,3000,6000,500,250,250,0,0.7,0.77,0.8648648648648649,0.64,0.7356321839080459,225,25,90,160,+0.40%,+2.89%
4,smote,12000,6000,6000,500,250,250,3000,0.6,0.89,0.9012345679012346,0.876,0.8884381338742394,226,24,31,219,+0.77%,-0.50%
4,generated,12000,6000,6000,500,250,250,3000,0.44999999999999996,0.92,0.9038461538461539,0.94,0.9215686274509804,225,25,15,235,-0.55%,+3.78%
5,none,9000,3000,6000,500,250,250,0,0.7,0.782,0.8691099476439791,0.664,0.7528344671201814,225,25,84,166,+2.34%,+5.30%
5,smote,12000,6000,6000,500,250,250,3000,0.6,0.896,0.9024390243902439,0.888,0.8951612903225806,226,24,28,222,+0.76%,+0.25%
5,generated,12000,6000,6000,500,250,250,3000,0.44999999999999996,0.9,0.890625,0.912,0.9011857707509882,222,28,22,228,-2.21%,+1.49%
6,none,9000,3000,6000,500,250,250,0,0.7,0.794,0.8730964467005076,0.688,0.7695749440715883,225,25,78,172,+2.22%,+7.64%
6,smote,12000,6000,6000,500,250,250,3000,0.6,0.906,0.9043824701195219,0.908,0.9061876247504991,226,24,23,227,+1.23%,+1.48%
6,generated,12000,6000,6000,500,250,250,3000,0.44999999999999996,0.918,0.9003831417624522,0.94,0.9197651663405089,224,26,15,235,+2.06%,+3.58%
7,none,9000,3000,6000,500,250,250,0,0.7,0.774,0.8663101604278075,0.648,0.7414187643020594,225,25,88,162,-3.66%,+3.70%
7,smote,12000,6000,6000,500,250,250,3000,0.6,0.898,0.902834008097166,0.892,0.8973843058350102,226,24,27,223,-0.97%,+0.50%
7,generated,12000,6000,6000,500,250,250,3000,0.35,0.908,0.8923076923076924,0.928,0.9098039215686274,222,28,18,232,-1.08%,+2.46%
8,none,9000,3000,6000,500,250,250,0,0.7,0.754,0.8587570621468926,0.608,0.7119437939110069,225,25,98,152,-3.98%,-0.42%
8,smote,12000,6000,6000,500,250,250,3000,0.6,0.886,0.9004149377593361,0.868,0.8839103869653767,226,24,33,217,-1.50%,-1.01%
8,generated,12000,6000,6000,500,250,250,3000,0.44999999999999996,0.92,0.9069767441860465,0.936,0.921259842519685,226,24,16,234,+1.26%,+3.75%
9,none,9000,3000,6000,500,250,250,0,0.7,0.762,0.861878453038674,0.624,0.7238979118329466,225,25,94,156,+1.68%,+1.25%
9,smote,12000,6000,6000,500,250,250,3000,0.6,0.902,0.9036144578313253,0.9,0.9018036072144289,226,24,25,225,+2.02%,+0.99%
9,generated,12000,6000,6000,500,250,250,3000,0.44999999999999996,0.92,0.91015625,0.932,0.9209486166007905,227,23,17,233,-0.03%,+3.71%
10,none,9000,3000,6000,500,250,250,0,0.7,0.764,0.8626373626373627,0.628,0.7268518518518517,225,25,93,157,+0.41%,+1.66%
10,smote,12000,6000,6000,500,250,250,3000,0.6,0.884,0.9,0.864,0.8816326530612244,226,24,34,216,-2.24%,-1.27%
10,generated,12000,6000,6000,500,250,250,3000,0.6,0.934,0.9656652360515021,0.9,0.9316770186335404,242,8,25,225,+1.16%,+4.92%
