attack,method,phase,status,command_count,time_s,cpu_usage_pct,memory_mb
Scan,generated,feature_extraction,success,1,224.54524462495465,105.85025365243716,2161.109375
Scan,generated,model_training,success,1,3.810501000029035,207.45214343047715,643.15625
Scan,generated,model_detection,success,1,0.9425425829831511,586.886375201457,259.578125
Scan,generated,total,success,3,229.29828820796683,109.51600771316838,2161.109375
Scan,shared_pretrain,feature_extraction,success,1,218.71388545806985,104.96035792112981,2142.15625
Scan,shared_pretrain,model_training,success,1,3.7209784579463303,229.5305414026449,615.390625
Scan,shared_pretrain,model_detection,success,1,0.7086362079717219,666.7443671165815,258.125
Scan,shared_pretrain,total,success,3,223.1435001239879,108.82165551094893,2142.15625
Scan,smote,feature_extraction,success,1,216.81252179201692,105.62803481419235,2095.734375
Scan,smote,model_training,success,1,3.82225358299911,206.13914877457344,632.828125
Scan,smote,model_detection,success,1,0.7357048749690875,645.1595145675003,257.609375
Scan,smote,total,success,3,221.37048024998512,109.15657621880061,2095.734375
