attack,method,phase,status,command_count,time_s,cpu_usage_pct,memory_mb
Zeus,generated,feature_extraction,success,1,216.1214572499739,106.42800207198204,2090.265625
Zeus,generated,model_training,success,1,3.967654417036101,201.4212217093726,645.34375
Zeus,generated,model_detection,success,1,0.9568445420591161,512.2205107062414,213.9375
Zeus,generated,total,success,3,221.04595620906912,109.88963795847715,2090.265625
Zeus,shared_pretrain,feature_extraction,success,1,210.15987933403812,106.2417235428234,2134.578125
Zeus,shared_pretrain,model_training,success,1,3.8209306669887155,225.9775890360457,607.40625
Zeus,shared_pretrain,model_detection,success,1,0.7371512079844251,646.8449007955428,215.015625
Zeus,shared_pretrain,total,success,3,214.71796120901126,110.22838921687146,2134.578125
Zeus,smote,feature_extraction,success,1,221.4475812080782,108.0462399700719,2039.921875
Zeus,smote,model_training,success,1,3.959082791930996,199.22177470183783,641.53125
Zeus,smote,model_detection,success,1,0.9085343329934403,536.7321655234803,215.890625
Zeus,smote,total,success,3,226.31519833300263,111.36217887990053,2039.921875
