intra_slice_mode,slice_window_s,max_slices,effective_horizon_s,train_count,test_count,test_positive_count,test_negative_count,used_generated_count,prediction_target_distance,packet_length_cosine,packet_curve_cosine,accuracy,precision,recall,f1,TN,FP,FN,TP
even,0.001,60,0.06,9121.0,3610.0,1610.0,2000.0,121.0,0.03735796872369697,1.0,0.595372831402131,0.9637119113573407,0.928695652173913,0.9950310559006211,0.9607196401799101,1877.0,123.0,8.0,1602.0
even,0.01,60,0.6,9121.0,3610.0,1610.0,2000.0,121.0,0.34596915375691234,1.0,0.9998938510831441,0.9631578947368421,0.9306122448979591,0.991304347826087,0.96,1881.0,119.0,14.0,1596.0
even,0.1,60,6.0,9121.0,3610.0,1610.0,2000.0,121.0,0.3151218738818339,1.0,0.9849218879984218,0.9626038781163435,0.927536231884058,0.9937888198757764,0.95952023988006,1875.0,125.0,10.0,1600.0
even,0.2,60,12.0,9121.0,3610.0,1610.0,2000.0,121.0,0.2808215367778615,0.8283247037431777,0.917380254120637,0.9537396121883657,0.9307462686567164,0.9683229813664597,0.9491628614916287,1884.0,116.0,51.0,1559.0
even,0.5,60,30.0,9121.0,3610.0,1610.0,2000.0,121.0,0.17322385597845444,0.5673535969634242,0.8279937048247661,0.9606648199445983,0.920389461626575,0.9981366459627329,0.9576877234803337,1861.0,139.0,3.0,1607.0
even,1.0,60,60.0,9121.0,3610.0,1610.0,2000.0,121.0,0.1264365088437032,0.6937862131784016,0.8457562868798392,0.9609418282548476,0.924812030075188,0.993167701863354,0.9577717879604672,1870.0,130.0,11.0,1599.0
even,2.0,60,120.0,9121.0,3610.0,1610.0,2000.0,121.0,0.10781812516074732,0.6810700307130519,0.8235425154836407,0.9617728531855956,0.9259259259259259,0.9937888198757764,0.9586578789694428,1872.0,128.0,10.0,1600.0
even,3.0,60,180.0,9121.0,3610.0,1610.0,2000.0,121.0,0.08996890435953855,0.7876815438990921,0.8901726751779949,0.9637119113573407,0.9296920395119117,0.9937888198757764,0.9606724707295107,1879.0,121.0,10.0,1600.0
even,4.0,60,240.0,9121.0,3610.0,1610.0,2000.0,121.0,0.0788425901219176,0.3843813626934424,0.7896557659598731,0.8731301939058171,0.9816053511705686,0.7291925465838509,0.8367783321454028,1978.0,22.0,436.0,1174.0
even,5.0,60,300.0,9121.0,3610.0,1610.0,2000.0,121.0,0.06581213907871813,0.3843813626934424,0.7590772761915523,0.9631578947368421,0.9316189362945646,0.9900621118012423,0.9599518217404396,1883.0,117.0,16.0,1594.0
even,6.0,60,360.0,9121.0,3610.0,1610.0,2000.0,121.0,0.057615904107591064,0.539208350692964,0.8795753020733696,0.9634349030470915,0.9252013808975834,0.9987577639751553,0.9605734767025089,1870.0,130.0,2.0,1608.0
even,8.0,60,480.0,9121.0,3610.0,1610.0,2000.0,121.0,0.055276571469470244,0.5355282029814286,0.8179717776868659,0.9631578947368421,0.9286128845037724,0.9937888198757764,0.9600960096009601,1877.0,123.0,10.0,1600.0
even,10.0,60,600.0,9121.0,3610.0,1610.0,2000.0,121.0,0.04944846341319124,0.4425500076601947,0.6821685300534694,0.9626038781163435,0.927536231884058,0.9937888198757764,0.95952023988006,1875.0,125.0,10.0,1600.0
