流编号,传输层协议,原始数据包数,还原数据包数,数据包数是否一致（1=是，0=否）,原始总帧长度（字节）,还原总帧长度（字节）,帧长度余弦相似度,逐包曲线余弦相似度,载荷完全一致比例,不可变首部字段一致比例,相对到达时间平均绝对误差（微秒）,相对到达时间最大误差（微秒）,五元组是否匹配（1=是，0=否）,单流还原校验是否通过（1=是，0=否）
1,TCP,8937,8937,1,7784966,7784966,1.0000000000000002,0.999999996233403,1.0,0.49076871433366903,2865.8191989942648,7308.006286621094,1,0
2,TCP,3383,3383,1,3268495,3268495,1.0000000000000002,0.999999865591411,1.0,0.40555719775347326,785.861112575999,1173.9730834960938,1,0
3,TCP,9188,9188,1,7730758,7730758,1.0,0.9999999981902579,1.0,0.5223117109272964,1379.6893938967182,4114.1510009765625,1,0
4,UDP,2460,2460,1,2396098,2396098,1.0,0.9999999846725771,1.0,1.0,7247.989836747084,11351.10855102539,1,1
5,UDP,10895,10895,1,10625667,10625667,1.0,0.9999999966398095,1.0,1.0,530.9123957906638,1095.0565338134766,1,1
6,UDP,3474,3474,1,3022016,3022016,1.0,0.999999990673954,1.0,1.0,38962.84144571202,129616.26052856445,1,1
7,TCP,3575,3575,1,3279529,3279529,1.0,0.9999999327090395,1.0,0.3988811188811189,429.52150731653603,458.00209045410156,1,0
8,TCP,9508,9508,1,7876680,7876680,0.9999999999999999,0.9999999932131161,1.0,0.5315523769457299,5309.430851773851,8697.032928466797,1,0
9,UDP,4594,4594,1,4273237,4273237,0.9999999999999998,0.999999981996967,1.0,1.0,844.5267164556681,1914.0243530273438,1,1
10,UDP,5703,5703,1,5525738,5525738,0.9999999999999999,0.9999999403598298,1.0,1.0,1206.3674083952526,1780.0331115722656,1,1
11,UDP,2043,2043,1,1946090,1946090,1.0,0.9999999903519918,1.0,1.0,11916.364108705076,32883.1672668457,1,1
12,UDP,8776,8776,1,8347926,8347926,1.0,0.9999999929753628,1.0,1.0,178274.94204750686,301707.02934265137,1,1
13,UDP,3012,3012,1,3114625,3114625,0.9999999999999999,0.9999999979723783,1.0,1.0,448.8532128403703,1060.0090026855469,1,1
14,UDP,8205,8205,1,7792187,7792187,0.9999999999999999,0.9999999988265826,1.0,1.0,68409.04393913831,190900.8026123047,1,1
15,UDP,2143,2143,1,2124812,2124812,1.0000000000000002,0.9999999941190475,1.0,1.0,5351.399908096947,11314.868927001953,1,1
16,UDP,4511,4511,1,4603538,4603538,1.0000000000000002,0.9999999876682631,1.0,1.0,10534.755196864155,19570.112228393555,1,1
17,UDP,3696,3696,1,650660,650660,1.0,0.9999999989873173,1.0,1.0,5223.43601499285,16056.299209594727,1,1
18,UDP,2934,2934,1,3016221,3016221,1.0000000000000002,0.9999999950236341,1.0,1.0,3750.837653692515,7236.003875732422,1,1
19,UDP,3138,3138,1,3242717,3242717,1.0,0.9999999904153529,1.0,1.0,4403.033706319796,7890.939712524414,1,1
20,UDP,1995,1995,1,1975850,1975850,1.0,0.9999999917472098,1.0,1.0,2655.743955072006,7704.019546508789,1,1
