配对编号,传输层协议,目标流包数,种子流包数,仿构流包数,目标流总帧长度（字节）,种子流总帧长度（字节）,仿构流总帧长度（字节）,目标流持续时间（秒）,仿构流持续时间（秒）,目标时间片数,仿构时间片数,包数序列余弦相似度,总帧长度序列余弦相似度,联合行为余弦相似度,逐包帧长度余弦相似度,逐包时间长度曲线余弦相似度,仿构流载荷总长度（字节）,载荷按种子流顺序截取比例,仿构特征提取时间（秒）,PCAP仿构时间（秒）,仿构阶段总时间（秒）,仿构阶段平均CPU占用率（%）,仿构阶段峰值内存（MB）,仿构流五元组继承种子流（1=是，0=否）,仿构流可重新解析（1=是，0=否）,载荷来源
pair_001,UDP,10895,8776,685,10625667,8347926,617416,5.711069107055664,0.38808608055114746,6,1,0.3999656512410313,0.36133202747567417,0.3820688450942001,0.6529330078345132,0.9452706578316031,588646,1.0,0.002486292039975524,0.5951663749292493,0.5976526669692248,100.1,496.46875,1,1,种子流真实载荷顺序分片，不重复使用
pair_002,UDP,8205,5703,281,7792187,5525738,267756,1331.8323419094086,53.50602912902832,1332,54,0.1642209216760348,0.16291659753891413,0.16357223956516334,0.6723309435292285,0.94688477302714,255954,1.0,0.002466832986101508,0.4155041250633076,0.4179709580494091,99.375,495.140625,1,1,种子流真实载荷顺序分片，不重复使用
pair_003,UDP,4594,4511,154,4273237,4603538,126164,4.772032022476196,0.6988160610198975,5,1,0.0991009679274822,0.09180843876774153,0.09573807581190819,0.6637241611905308,0.7388478227100059,119696,1.0,0.0011943329591304064,0.29233245900832117,0.2935267919674516,100.275,504.234375,1,1,种子流真实载荷顺序分片，不重复使用
pair_004,UDP,3696,3474,510,650660,3022016,140905,156.91612219810486,22.05762004852295,157,23,0.3288395462627493,0.5066978883801867,0.4344105530528417,0.7214566562832382,0.9743521983576632,119485,1.0,0.000673208967782557,0.21802299993578345,0.218696208903566,99.98571428571428,504.296875,1,1,种子流真实载荷顺序分片，不重复使用
pair_005,UDP,3138,3012,183,3242717,3114625,170588,24.388591051101685,2.0019478797912598,25,3,0.18401077673785887,0.16636926321759304,0.17558844726797704,0.6572402090095759,0.9526579763355351,162902,1.0,0.0007701249560341239,0.19843020802363753,0.19920033297967166,100.11666666666667,507.015625,1,1,种子流真实载荷顺序分片，不重复使用
pair_006,UDP,2934,2460,98,3016221,2396098,92501,28.88979697227478,1.6778349876403809,29,2,0.13799795583196053,0.12809920213707213,0.13327500364767925,0.6925022499479846,0.948079386355371,88385,1.0,0.0007485829992219806,0.15328504098579288,0.15403362398501486,100.25,507.046875,1,1,种子流真实载荷顺序分片，不重复使用
pair_007,UDP,2143,2043,113,2124812,1946090,94268,44.14758110046387,1.5558271408081055,45,2,0.3621830787493552,0.3450621590295126,0.35267496295966855,0.6855616754125561,0.9491453444459819,89522,1.0,0.0005760829662904143,0.13507999991998076,0.13565608288627118,100.1,507.0625,1,1,种子流真实载荷顺序分片，不重复使用
pair_008,UDP,1995,1929,230,1975850,299820,218924,21.287205934524536,4.712017059326172,22,5,0.223788572837609,0.21267618007246214,0.21834705111231667,0.6562024086307444,0.941667439605716,209264,1.0,0.0005680839531123638,0.08434133301489055,0.08490941696800292,99.9,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
pair_009,UDP,1784,1781,55,1741099,1834638,46674,368.41841101646423,9.053807973861694,369,10,0.12467451471338226,0.10901698810493296,0.11717123413841853,0.6720706047666157,0.9553534009950417,44364,1.0,0.0004849580582231283,0.11455608299002051,0.11504104104824364,99.675,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
pair_010,UDP,1715,1699,61,1727460,1662854,57670,1.7164740562438965,0.09113597869873047,2,1,0.5602930299997858,0.5409569579569634,0.5507828962231606,0.7472066877357219,0.8599310272354446,55108,1.0,0.00045345898251980543,0.11901870800647885,0.11947216698899865,100.075,507.078125,1,1,种子流真实载荷顺序分片，不重复使用
